OrdNo,equipment_description,Carrier_Name,Created_Date,Route,LTDeliv
VE593637232022,TRAILER_CONTAINER20,JI,2022-03-07,JABODETABEK-JAWA BARAT,0
VE593637112022,TRAILER_CONTAINER20,JI,2022-03-07,JABODETABEK-JAWA BARAT,0
VE593637092022,TRAILER_CONTAINER20,KTN,2022-03-07,JABODETABEK-JAWA BARAT,0
VE593610622022,TRAILER_CONTAINER20,FTJ,2022-03-07,JABODETABEK-JAWA BARAT,0
VE593606822022,TRAILER_CONTAINER20,JI,2022-03-07,JABODETABEK-JAWA BARAT,0
VE593539762022,TRAILER_CONTAINER20,FTJ,2022-03-04,JABODETABEK-JAWA BARAT,0
VE593539732022,TRAILER_CONTAINER20,FTJ,2022-03-04,JABODETABEK-JAWA BARAT,0
VE593539712022,TRAILER_CONTAINER20,FTJ,2022-03-04,JABODETABEK-JAWA BARAT,0
VE593538552022,TRAILER_CONTAINER20,FTJ,2022-03-04,JABODETABEK-JAWA BARAT,0
VE599254092022,TRAILER_CONTAINER20,SKB,2022-05-10,JABODETABEK-JAWA BARAT,0
VE599234702022,TRAILER_CONTAINER20,JI,2022-05-10,JABODETABEK-JAWA BARAT,0
VE597574342022,TRAILER_CONTAINER20,SKB,2022-04-20,JABODETABEK-JAWA BARAT,0
VE597574302022,TRAILER_CONTAINER20,SKB,2022-04-20,JABODETABEK-JAWA BARAT,0
VE597574282022,TRAILER_CONTAINER20,SKB,2022-04-20,JABODETABEK-JAWA BARAT,0
VE603014702022,TRAILER_CONTAINER20,JI,2022-06-22,JABODETABEK-JAWA BARAT,0
VE602394492022,TRAILER_CONTAINER20,ACS,2022-06-15,JABODETABEK-JAWA BARAT,0
VE603460632022,TRAILER_CONTAINER20,SKB,2022-06-28,JABODETABEK-JAWA BARAT,9
VE603461292022,TRAILER_CONTAINER20,SKB,2022-06-28,JABODETABEK-JAWA BARAT,9
VE603014442022,TRAILER_CONTAINER20,JI,2022-06-22,JABODETABEK-JAWA BARAT,0
VE604810562022,TRAILER_CONTAINER20,JI,2022-07-13,JABODETABEK-JAWA BARAT,0
VE603596922022,TRAILER_CONTAINER20,FTJ,2022-06-29,JABODETABEK-JAWA BARAT,14
